Laptop Name,Current Price,MRP Price,Rating,Dedicated Graphic Memory Type,Processor Brand,Processor Name,SSD,SSD Capacity,RAM,RAM Type,Graphic Processor,Processor Generation,Processor Variant,Clock Speed,Cache,Number of Cores,Expandable Memory,RAM Frequency,Expandable SSD Capacity,Chipset,Memory Slots,RPM,Dedicated Graphic Memory Capacity,HDD Capacity,EMMC Storage Capacity,Cloud Storage
"MSI GF63 Intel Core i5 11th Gen 11260H - (16 GB/1 TB HDD/256 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050/144 Hz) GF63 Thin 11UC-1490IN Gaming Laptop  (15.6 Inch, Black, 1.86 Kg)","52,990","84,990",4.3,GDDR6,Intel,Core i5,Yes,256 GB,16 GB,DDR4,NVIDIA GeForce RTX 3050,11th Gen,11260H,Max Turbo Frequency up to 4.4GHz,,,64 GB,,4 TB,,,,4 GB,1 TB,,
"HP Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) 15s-fq5330TU Thin and Light Laptop  (15.6 inch, Natural Silver, 1.69 Kg)","54,990","68,223",4.2,,Intel,Core i5,Yes,512 GB,16 GB,DDR4,Intel Integrated Iris Xe,12th Gen,1235U,Max Frequency Up to 4.4 GHz,,,,,,,,,,,,
"SAMSUNG Galaxy Book3 Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) NP750XFG-KA2IN Thin and Light Laptop  (15.6 Inch, Graphite, 1.58 Kg, With MS Office)","69,990","99,990",4.4,,Intel,Core i5,Yes,512 GB,16 GB,LPDDR4X,Intel Integrated Iris Xe,13th Gen,1335U,Max Turbo Frequency up to 4.6 GHz,,,,,,,,,,,,
"Infinix X2 Slim Series Intel Core i5 11th Gen 1155G7 - (16 GB/1 TB SSD/Windows 11 Home) XL23 Thin and Light Laptop  (14 inch, Green, 1.24 Kg)","36,990","69,990",4.2,,Intel,Core i5,Yes,1 TB,16 GB,LPDDR4X,Intel Integrated UHD,11th Gen,1155G7,2.5 GHz upto max turbo frequency at 4.5 Ghz,,,,,,,,,,,,
"ASUS Vivobook 15 Intel Core i3 11th Gen 1115G4 - (8 GB/256 GB SSD/Windows 11 Home) X1500EA-EJ311W Thin and Light Laptop  (15.6 Inch, Transparent Silver, 1.80 Kg)","28,990","44,990",4.2,,Intel,Core i3,Yes,256 GB,8 GB,DDR4,Intel Integrated UHD,11th Gen,1115G4,Max turbo frequency at 4.1 Ghz,,,,,,,,,,,,
"ASUS TUF Gaming F15 - AI Powered Gaming Intel Core i5 11th Gen 11260H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 2050/70 TGP) FX506HF-HN076W Gaming Laptop  (15.6 Inch, Graphite Black, 2.30 kg)","52,990","80,990",4.3,GDDR6,Intel,Core i5,Yes,512 GB,16 GB,DDR4,NVIDIA GeForce RTX 2050,11th Gen,11260H,"Base Frequency 2.9 GHz, Max Turbo Boost at 4.4 GHz",12 MB,6,32,,2 TB,Mobile Intel HM570 Express,4,3200,4 GB,,,
"SAMSUNG Galaxy Book2 Pro EVO AMOLED Intel Core i5 12th Gen 1240P - (16 GB/512 GB SSD/Windows 11 Home) NP930XED-KB3IN Thin and Light Laptop  (13.3 Inch, Silver, 0.87 Kg, With MS Office)","69,990","1,29,990",4.5,,Intel,Core i5,Yes,512 GB,16 GB,DDR5,Intel Integrated Iris Xe,12th Gen,1240P,1.7 GHz to max turbo frequency at 4.4 GHz,,,,,,,,,,,,
"Lenovo IdeaPad Slim 3 Intel Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 15ITL6 Thin and Light Laptop  (39.62 cm, Arctic Grey, With MS Office)","30,990","49,190",4.2,,Intel,Core i3,Yes,256 GB,8 GB,DDR4,Intel Integrated UHD Graphics,11th Gen,,,,,16,,NA,,,,,,,
"Acer Aspire 7 (2023) Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050/144 Hz) A715-76G Gaming Laptop  (15.6 Inch, Charcoal Black, 2.1 Kg)","57,990","84,999",4.2,GDDR6,Intel,Core i5,Yes,512 GB,16 GB,DDR4,NVIDIA GeForce RTX 3050,12th Gen,12450H,3.3 GHz upto max turbo frequency at 4.4 Ghz,,,,,,,,,4 GB,,,
"HP AMD Ryzen 3 Quad Core 5300U - (8 GB/512 GB SSD/Windows 11 Home) 15s-eq2143au Thin and Light Laptop  (15.6 inch, Natural Silver, 1.69 Kg, With MS Office)","32,610","47,147",4.2,,AMD,Ryzen 3 Quad Core,Yes,512 GB,8 GB,DDR4,AMD Radeon AMD,,5300U,2.6 GHz with Turbo Boost Upto 3.8 GHz,4,4,Yes,3200 MHz,,,,,,,,
